título,precio,habitaciones,área,ascensor
"Piso en riera De La, Sant Nicolau, Palma de Mallorca",480.000€,3 hab.,110 m²,True
"Piso en calle de Sant Lluc, Sa Indiotería - Son Castelló, Palma de Mallorca",359.900€,3 hab.,120 m²,True
"Chalet adosado en calle de la Civada, Son Ferriol, Palma de Mallorca",488.000€,3 hab.,229 m²,False
"Piso en avenida de Gabriel Alomar, Foners, Palma de Mallorca",549.900€,4 hab.,168 m²,True
"Piso en calle de Can Fonoll, Coll d'En Rabassa, Palma de Mallorca",430.000€,3 hab.,118 m²,True
"Piso en calle de Versalles, La Bonanova - Porto Pi, Palma de Mallorca",1.590.000€,4 hab.,320 m²,True
"Estudio en avenida de Joan Miró, El Terreno, Palma de Mallorca",550.000€,137 m²,Planta 1ª exterior sin ascensor,True
"Casa o chalet independiente en calle del Pou Comú, Establiments - Son Sardina, Palma de Mallorca",735.000€,3 hab.,178 m²,False
"Casa o chalet independiente en calle de Ferran Alzamora, Ses Cadenes-Arenal, Palma de Mallorca",2.500.000€,1.725 m²,NA,False
"Piso en calle dels Set Cantons, Cort, Palma de Mallorca",395.000€,4 hab.,125 m²,True
"Chalet adosado en calle de l'Almirall Bonifaz, Son Armadams, Palma de Mallorca",990.000€,3 hab.,256 m²,False
"Piso en Foners, Palma de Mallorca",360.000€,5 hab.,183 m²,True
"Piso en Son Cotoner, Palma de Mallorca",1.600.000€,2 hab.,142 m²,True
"Dúplex en calle de Sant Bartomeu, Sant Nicolau, Palma de Mallorca",3.400.000€,4 hab.,462 m²,True
"Casa o chalet independiente en calle de Son Puig, Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",1.390.000€,4 hab.,411 m²,False
"Ático en La Bonanova - Porto Pi, Palma de Mallorca",1.595.000€,4 hab.,357 m²,True
"Casa o chalet independiente en S'Aranjassa - Es Pil.larí, Palma de Mallorca",1.470.000€,4 hab.,386 m²,False
"Piso en Son Dameto, Palma de Mallorca",399.000€,3 hab.,98 m²,True
"Piso en calle de la Fàbrica, Sta Catalina - El Jonquet, Palma de Mallorca",320.000€,4 hab.,127 m²,True
"Piso en calle del Polvorí, El Terreno, Palma de Mallorca",270.000€,1 hab.,74 m²,True
"Piso en calle de Bartomeu Rosselló-Porcel, Son Armadams, Palma de Mallorca",469.000€,4 hab.,132 m²,True
"Piso en calle de Marbella, Les Maravelles, Palma de Mallorca",380.000€,2 hab.,80 m²,True
"Piso en calle de Joan Ripoll i Trobat, Son Dameto, Palma de Mallorca",380.000€,2 hab.,115 m²,True
"Piso en calle dels Apuntadors, La Llotja, Palma de Mallorca",266.000€,1 hab.,60 m²,True
"Piso en calle del Busqueret, Son Xigala, Palma de Mallorca",332.000€,2 hab.,108 m²,True
"Piso en calle de Bartomeu Rosselló-Porcel, Son Armadams, Palma de Mallorca",469.000€,4 hab.,132 m²,True
"Piso en calle del Polvorí, El Terreno, Palma de Mallorca",270.000€,1 hab.,74 m²,True
"Piso en calle de Joan Ripoll i Trobat, Son Dameto, Palma de Mallorca",380.000€,2 hab.,115 m²,True
"Ático en calle de Francesc Martí i Móra, Son Cotoner, Palma de Mallorca",445.000€,3 hab.,168 m²,True
"Ático en Sant Nicolau, Palma de Mallorca",4.900.000€,4 hab.,294 m²,True
"Piso en Sant Nicolau, Palma de Mallorca",1.790.000€,4 hab.,276 m²,True
"Chalet pareado en La Teulera, Palma de Mallorca",850.000€,5 hab.,139 m²,False
"Piso en Plaça de Toros, Palma de Mallorca",225.000€,3 hab.,96 m²,True
"Piso en Son Cladera - Son Fuster, Palma de Mallorca",310.000€,3 hab.,99 m²,True
"Chalet en Diseminado 4112- Secar de la Real, Secar de la Real, Palma de Mallorca",5.750.000€,15 hab.,3.000 m²,False
"Casa de pueblo en Establiments - Son Sardina, Palma de Mallorca",620.000€,4 hab.,200 m²,False
"Piso en avenida de Jaume III, La Llotja, Palma de Mallorca",535.000€,3 hab.,130 m²,True
"Ático en calle de la República Dominicana, Son Espanyolet, Palma de Mallorca",1.150.000€,4 hab.,153 m²,True
"Piso en calle de Tomàs Forteza, Foners, Palma de Mallorca",360.000€,3 hab.,145 m²,True
"Casa o chalet independiente en La Bonanova - Porto Pi, Palma de Mallorca",1.760.000€,4 hab.,327 m²,False
"Piso en avenida Gran i General Consell, Arxiduc, Palma de Mallorca",1.390.000€,4 hab.,371 m²,True
"Chalet en Portixol-Molinar, Palma de Mallorca",1.990.000€,3 hab.,311 m²,False
"Piso en avenida Joan Miró, Cala Major, Palma de Mallorca",1.069.000€,3 hab.,150 m²,True
"Chalet pareado en Son Dureta, Palma de Mallorca",1.190.000€,4 hab.,215 m²,False
"Ático en La Bonanova - Porto Pi, Palma de Mallorca",795.000€,2 hab.,180 m²,True
"Piso en Sant Nicolau, Palma de Mallorca",990.000€,2 hab.,115 m²,True
"Ático en Sant Jaume, Palma de Mallorca",1.400.000€,3 hab.,179 m²,False
"Ático en Pere Garau, Palma de Mallorca",277.000€,2 hab.,74 m²,True
"Ático en Sant Nicolau, Palma de Mallorca",595.000€,3 hab.,100 m²,False
